,first_y_test,second_y_test,predicted_labels
213,1.0,1.0,1
214,1.0,1.0,0
215,1.0,1.0,1
216,1.0,1.0,0
217,1.0,1.0,2
218,1.0,1.0,1
219,1.0,1.0,1
220,1.0,1.0,1
221,2.0,3.0,2
222,1.0,1.0,1
223,1.0,1.0,0
224,2.0,3.0,4
225,2.0,3.0,1
226,3.0,4.0,4
227,1.0,1.0,1
228,1.0,1.0,1
229,1.0,1.0,0
230,3.0,4.0,4
231,1.0,1.0,0
232,1.0,1.0,1
233,1.0,1.0,4
234,1.0,1.0,1
235,1.0,1.0,1
236,2.0,3.0,4
237,1.0,1.0,1
238,2.0,3.0,1
239,1.0,1.0,0
240,1.0,1.0,1
241,1.0,1.0,0
242,1.0,1.0,0
243,1.0,1.0,1
244,1.0,1.0,1
245,1.0,1.0,1
246,2.0,3.0,2
247,4.0,4.0,4
248,1.0,1.0,1
249,1.0,1.0,2
250,1.0,1.0,1
251,1.0,1.0,0
252,2.0,3.0,1
253,2.0,3.0,1
254,2.0,3.0,2
255,1.0,1.0,0
256,1.0,1.0,1
257,1.0,1.0,1
258,1.0,1.0,1
259,2.0,3.0,3
260,2.0,3.0,2
261,2.0,3.0,3
262,1.0,1.0,1
263,2.0,3.0,3
264,1.0,1.0,1
265,2.0,3.0,1
266,1.0,1.0,1
267,1.0,1.0,1
268,1.0,1.0,1
269,2.0,3.0,1
270,1.0,1.0,0
271,1.0,1.0,0
272,1.0,1.0,1
273,1.0,1.0,1
274,1.0,1.0,1
275,1.0,1.0,1
276,1.0,1.0,1
277,2.0,3.0,4
278,2.0,3.0,1
279,2.0,3.0,4
280,1.0,1.0,1
281,1.0,1.0,0
282,2.0,3.0,4
283,1.0,1.0,1
284,1.0,1.0,2
285,1.0,1.0,0
286,3.0,4.0,4
287,1.0,1.0,2
288,1.0,1.0,0
289,1.0,1.0,4
290,1.0,1.0,0
291,2.0,3.0,4
292,2.0,3.0,1
293,1.0,1.0,2
294,1.0,1.0,1
295,1.0,1.0,1
296,2.0,3.0,1
297,1.0,1.0,1
298,1.0,1.0,0
299,1.0,1.0,0
300,3.0,4.0,4
301,1.0,1.0,0
302,1.0,1.0,2
303,2.0,3.0,2
304,1.0,1.0,1
305,1.0,1.0,1
306,1.0,1.0,4
307,1.0,1.0,0
308,1.0,1.0,0
309,1.0,1.0,1
310,2.0,3.0,4
311,1.0,1.0,0
312,1.0,1.0,0
313,2.0,3.0,4
314,1.0,1.0,1
315,1.0,1.0,0
316,1.0,1.0,2
317,2.0,3.0,1
318,2.0,3.0,2
319,1.0,1.0,1
320,1.0,1.0,1
321,2.0,3.0,2
322,2.0,3.0,4
323,1.0,1.0,1
324,1.0,1.0,1
325,1.0,1.0,1
326,1.0,1.0,0
327,1.0,1.0,1
328,1.0,1.0,1
329,2.0,3.0,1
330,1.0,1.0,2
331,2.0,3.0,1
332,1.0,1.0,0
333,1.0,1.0,0
334,1.0,1.0,2
335,1.0,1.0,2
336,2.0,3.0,2
337,3.0,4.0,4
338,2.0,3.0,2
339,1.0,1.0,2
340,1.0,1.0,1
341,1.0,1.0,0
342,1.0,1.0,1
343,1.0,1.0,1
344,1.0,1.0,0
345,1.0,1.0,2
346,1.0,1.0,1
347,1.0,1.0,1
348,1.0,1.0,4
349,1.0,1.0,1
350,1.0,1.0,0
351,1.0,1.0,4
352,1.0,1.0,1
353,1.0,1.0,0
354,1.0,1.0,1
355,1.0,1.0,1
356,1.0,1.0,0
357,1.0,1.0,0
358,1.0,1.0,1
359,1.0,1.0,1
360,1.0,1.0,0
361,1.0,1.0,1
362,2.0,3.0,1
363,3.0,4.0,4
364,1.0,1.0,0
365,1.0,1.0,0
366,1.0,1.0,0
367,1.0,1.0,2
368,1.0,1.0,0
369,3.0,4.0,3
370,1.0,1.0,1
371,1.0,1.0,0
372,2.0,3.0,1
373,1.0,1.0,1
374,2.0,3.0,1
375,1.0,1.0,0
376,2.0,3.0,2
377,1.0,1.0,1
378,1.0,1.0,0
379,1.0,1.0,0
380,2.0,3.0,2
381,1.0,1.0,0
382,1.0,1.0,0
383,1.0,1.0,1
384,1.0,1.0,2
385,1.0,1.0,0
386,1.0,1.0,0
387,1.0,1.0,1
388,1.0,1.0,4
389,1.0,1.0,0
390,1.0,1.0,1
391,2.0,3.0,3
392,1.0,1.0,0
393,2.0,3.0,4
394,1.0,1.0,0
395,1.0,1.0,0
396,1.0,1.0,1
397,1.0,1.0,2
398,1.0,1.0,0
399,1.0,1.0,0
400,2.0,3.0,1
401,1.0,1.0,1
402,1.0,1.0,0
403,2.0,3.0,1
404,1.0,1.0,0
405,1.0,1.0,1
406,1.0,1.0,0
407,1.0,1.0,1
408,1.0,1.0,0
409,1.0,1.0,1
410,1.0,1.0,1
411,1.0,1.0,1
412,1.0,1.0,1
413,1.0,1.0,1
414,1.0,1.0,0
415,3.0,4.0,4
416,2.0,3.0,1
417,1.0,1.0,1
418,3.0,4.0,3
419,2.0,3.0,1
420,1.0,2.0,3
421,1.0,1.0,1
422,2.0,3.0,1
423,1.0,1.0,0
424,1.0,1.0,1
425,2.0,3.0,3
426,2.0,3.0,3
427,1.0,1.0,0
428,3.0,4.0,3
429,1.0,1.0,1
430,1.0,1.0,3
431,2.0,3.0,1
432,1.0,1.0,1
433,1.0,1.0,0
434,1.0,1.0,1
435,1.0,1.0,2
436,1.0,1.0,0
437,1.0,1.0,1
438,1.0,1.0,2
439,1.0,1.0,1
440,1.0,1.0,1
441,1.0,1.0,1
442,1.0,1.0,1
443,1.0,1.0,1
444,2.0,3.0,2
445,2.0,3.0,2
446,1.0,1.0,1
447,2.0,3.0,3
448,2.0,3.0,1
449,1.0,1.0,1
450,1.0,1.0,2
451,1.0,1.0,2
452,1.0,1.0,1
453,2.0,3.0,2
454,1.0,1.0,1
455,1.0,1.0,1
456,1.0,1.0,1
457,1.0,1.0,0
458,2.0,3.0,4
459,1.0,1.0,1
460,1.0,1.0,1
461,2.0,3.0,4
462,1.0,1.0,1
463,1.0,1.0,1
464,2.0,3.0,2
465,1.0,1.0,1
466,0.0,1.0,4
467,1.0,1.0,1
468,1.0,1.0,1
469,1.0,1.0,1
470,2.0,3.0,1
471,1.0,1.0,4
472,2.0,3.0,2
473,1.0,1.0,1
474,1.0,1.0,4
475,1.0,1.0,0
476,2.0,3.0,1
477,1.0,1.0,0
478,2.0,3.0,3
479,1.0,1.0,0
480,2.0,3.0,3
481,1.0,1.0,1
482,2.0,3.0,1
483,2.0,3.0,1
484,1.0,1.0,4
485,1.0,1.0,1
486,2.0,3.0,1
487,1.0,1.0,0
488,2.0,3.0,1
489,1.0,1.0,0
490,1.0,1.0,1
491,1.0,1.0,4
492,1.0,1.0,0
493,2.0,3.0,1
494,1.0,1.0,1
495,1.0,1.0,1
496,1.0,1.0,2
497,1.0,1.0,1
498,1.0,1.0,0
499,1.0,1.0,1
500,1.0,1.0,0
501,2.0,3.0,3
502,2.0,3.0,4
503,2.0,3.0,1
504,1.0,1.0,0
505,1.0,1.0,1
506,1.0,1.0,1
507,1.0,1.0,1
508,1.0,1.0,2
509,1.0,1.0,1
510,1.0,1.0,4
511,1.0,1.0,1
512,2.0,3.0,4
513,1.0,1.0,2
514,1.0,1.0,1
515,1.0,1.0,1
516,1.0,1.0,1
517,1.0,1.0,1
518,2.0,3.0,1
519,1.0,1.0,0
520,1.0,1.0,2
521,2.0,3.0,1
522,1.0,1.0,0
523,1.0,1.0,1
524,1.0,1.0,0
525,2.0,3.0,1
526,2.0,3.0,2
527,1.0,1.0,1
528,1.0,1.0,0
529,1.0,1.0,1
530,2.0,3.0,4
531,1.0,1.0,0
532,1.0,1.0,2
533,1.0,1.0,1
534,1.0,1.0,2
535,1.0,1.0,0
536,3.0,4.0,3
537,1.0,1.0,1
538,1.0,1.0,0
539,1.0,1.0,0
540,1.0,1.0,2
541,1.0,1.0,0
542,1.0,1.0,1
543,1.0,1.0,0
544,0.0,1.0,3
545,2.0,3.0,4
546,1.0,1.0,2
547,3.0,4.0,4
548,1.0,1.0,1
549,1.0,1.0,0
550,2.0,3.0,1
551,1.0,1.0,0
552,2.0,3.0,1
553,1.0,1.0,1
554,1.0,1.0,1
555,1.0,1.0,1
556,1.0,1.0,0
557,1.0,1.0,1
558,1.0,1.0,0
559,2.0,3.0,1
560,1.0,1.0,0
561,0.0,1.0,3
562,3.0,4.0,3
563,1.0,1.0,1
564,1.0,1.0,0
565,1.0,1.0,1
566,1.0,1.0,0
567,1.0,1.0,1
568,1.0,1.0,1
569,1.0,1.0,0
570,1.0,1.0,4
571,2.0,3.0,3
572,1.0,1.0,0
573,3.0,4.0,3
574,1.0,1.0,0
575,1.0,1.0,1
576,1.0,1.0,1
577,1.0,1.0,1
578,1.0,1.0,1
579,1.0,1.0,0
580,1.0,1.0,1
581,1.0,1.0,0
582,1.0,1.0,1
583,1.0,1.0,1
584,1.0,1.0,1
585,1.0,1.0,1
586,2.0,3.0,1
587,1.0,1.0,3
588,2.0,3.0,4
589,2.0,3.0,2
590,1.0,1.0,1
591,1.0,1.0,1
592,1.0,1.0,0
593,1.0,1.0,3
594,1.0,1.0,1
595,1.0,1.0,4
596,1.0,1.0,2
597,1.0,1.0,0
598,1.0,1.0,1
599,1.0,1.0,2
600,1.0,1.0,1
601,2.0,3.0,1
602,2.0,3.0,2
603,1.0,1.0,1
604,1.0,1.0,1
605,1.0,1.0,2
606,1.0,1.0,1
607,1.0,1.0,2
608,0.0,1.0,3
609,1.0,1.0,0
610,1.0,1.0,0
611,2.0,3.0,1
612,2.0,3.0,3
613,1.0,1.0,1
614,2.0,3.0,1
615,1.0,1.0,1
616,1.0,1.0,0
617,1.0,1.0,1
618,2.0,3.0,1
619,2.0,3.0,1
620,1.0,1.0,1
621,2.0,3.0,2
622,0.0,1.0,2
623,2.0,3.0,4
624,1.0,1.0,3
625,1.0,1.0,0
626,1.0,1.0,3
627,1.0,1.0,1
628,3.0,4.0,4
629,2.0,3.0,4
630,1.0,1.0,1
631,1.0,1.0,1
632,1.0,1.0,3
633,1.0,1.0,1
634,2.0,3.0,1
635,1.0,1.0,1
636,1.0,1.0,0
637,1.0,1.0,4
638,1.0,1.0,0
639,1.0,1.0,3
640,1.0,1.0,1
641,1.0,1.0,1
642,1.0,1.0,1
643,2.0,3.0,1
644,2.0,3.0,1
645,3.0,4.0,4
646,1.0,1.0,1
647,1.0,1.0,0
648,1.0,1.0,0
649,1.0,1.0,1
650,1.0,1.0,0
651,1.0,1.0,1
652,1.0,1.0,1
653,1.0,1.0,1
654,1.0,1.0,0
655,1.0,1.0,1
656,2.0,3.0,1
657,1.0,1.0,1
658,1.0,1.0,1
659,1.0,1.0,1
660,2.0,3.0,3
661,1.0,1.0,0
662,1.0,1.0,0
663,1.0,1.0,4
664,0.0,1.0,3
665,1.0,1.0,0
666,2.0,3.0,1
667,1.0,1.0,1
668,1.0,1.0,1
669,1.0,1.0,1
670,3.0,4.0,3
671,1.0,1.0,1
672,1.0,1.0,1
673,1.0,1.0,1
674,1.0,1.0,0
675,1.0,1.0,1
676,2.0,3.0,1
677,0.0,1.0,4
678,1.0,1.0,1
679,1.0,1.0,1
680,1.0,1.0,0
681,1.0,1.0,0
682,1.0,1.0,0
683,1.0,1.0,1
684,1.0,1.0,1
685,1.0,1.0,2
686,1.0,1.0,0
687,1.0,1.0,1
688,1.0,1.0,1
689,1.0,1.0,3
690,1.0,1.0,1
691,1.0,1.0,1
692,1.0,1.0,1
693,1.0,1.0,1
694,1.0,1.0,0
695,1.0,1.0,2
696,2.0,3.0,2
697,1.0,1.0,1
698,1.0,1.0,1
699,1.0,1.0,1
700,1.0,1.0,0
701,1.0,1.0,0
702,1.0,1.0,1
703,1.0,1.0,1
704,1.0,1.0,0
705,1.0,1.0,1
706,1.0,1.0,0
707,1.0,1.0,1
708,1.0,1.0,1
709,1.0,1.0,1
710,1.0,1.0,1
711,0.0,1.0,4
712,1.0,1.0,1
713,1.0,1.0,1
714,1.0,2.0,2
715,1.0,1.0,1
716,1.0,1.0,0
717,1.0,1.0,1
718,1.0,1.0,1
719,1.0,1.0,1
720,1.0,1.0,1
721,1.0,1.0,1
722,1.0,1.0,1
723,1.0,1.0,0
724,1.0,1.0,1
725,1.0,1.0,1
726,1.0,1.0,1
727,2.0,3.0,2
728,1.0,1.0,1
729,1.0,1.0,1
730,1.0,1.0,1
731,1.0,1.0,1
732,1.0,1.0,1
733,1.0,1.0,1
734,1.0,1.0,4
735,2.0,3.0,1
736,1.0,1.0,0
737,3.0,4.0,4
738,1.0,1.0,0
739,1.0,1.0,0
740,2.0,3.0,1
741,1.0,1.0,0
742,1.0,1.0,1
743,1.0,1.0,4
744,1.0,1.0,1
745,1.0,1.0,1
746,1.0,1.0,0
747,1.0,1.0,0
748,1.0,1.0,0
749,1.0,1.0,1
750,1.0,1.0,0
751,3.0,4.0,4
752,1.0,1.0,1
753,1.0,1.0,1
754,2.0,3.0,2
755,3.0,4.0,3
756,3.0,4.0,3
757,1.0,1.0,1
758,1.0,1.0,0
759,1.0,1.0,2
760,1.0,1.0,0
761,1.0,1.0,1
762,2.0,3.0,1
763,1.0,1.0,0
764,1.0,1.0,0
765,1.0,1.0,2
766,1.0,1.0,1
767,1.0,1.0,2
768,1.0,1.0,1
769,1.0,1.0,0
770,1.0,1.0,0
771,2.0,3.0,1
772,1.0,1.0,1
773,1.0,1.0,1
774,1.0,1.0,1
775,1.0,1.0,0
776,1.0,1.0,1
777,2.0,3.0,1
778,1.0,1.0,1
779,1.0,1.0,1
780,1.0,1.0,1
781,1.0,1.0,2
782,3.0,4.0,4
783,1.0,1.0,4
784,1.0,1.0,1
785,1.0,1.0,3
786,1.0,1.0,1
787,1.0,1.0,0
788,1.0,1.0,1
789,1.0,1.0,4
790,1.0,1.0,0
791,1.0,1.0,1
792,1.0,1.0,1
793,1.0,1.0,1
794,2.0,3.0,2
795,1.0,1.0,1
796,1.0,2.0,1
797,2.0,2.0,4
798,1.0,1.0,1
799,1.0,1.0,0
800,2.0,3.0,1
801,1.0,1.0,1
802,1.0,1.0,1
803,1.0,1.0,1
804,1.0,1.0,0
805,2.0,3.0,1
806,1.0,1.0,0
807,2.0,3.0,1
808,1.0,1.0,0
809,2.0,3.0,4
810,1.0,1.0,0
811,1.0,1.0,1
812,1.0,1.0,1
813,1.0,1.0,0
814,2.0,3.0,1
815,2.0,3.0,1
816,1.0,1.0,1
817,1.0,1.0,0
818,1.0,1.0,1
819,3.0,4.0,3
820,1.0,1.0,2
821,1.0,1.0,1
822,2.0,3.0,4
823,1.0,1.0,1
824,2.0,3.0,1
825,1.0,1.0,1
826,3.0,4.0,4
827,1.0,1.0,0
828,1.0,1.0,0
829,1.0,1.0,0
830,1.0,1.0,0
831,1.0,1.0,1
832,1.0,1.0,1
833,1.0,1.0,0
834,1.0,1.0,1
835,1.0,1.0,1
836,1.0,1.0,1
837,1.0,1.0,1
838,2.0,3.0,2
839,1.0,1.0,1
840,1.0,1.0,2
841,3.0,4.0,4
842,1.0,1.0,1
843,1.0,1.0,1
844,1.0,1.0,1
845,1.0,1.0,1
846,1.0,1.0,1
847,1.0,1.0,1
848,1.0,1.0,1
849,1.0,1.0,1
850,1.0,1.0,0
851,1.0,1.0,1
852,1.0,1.0,0
853,1.0,1.0,1
854,3.0,4.0,3
855,1.0,1.0,0
856,2.0,3.0,4
857,1.0,1.0,1
858,1.0,1.0,0
859,1.0,1.0,1
860,1.0,1.0,0
861,1.0,1.0,1
862,1.0,1.0,1
863,1.0,1.0,1
864,1.0,1.0,1
865,1.0,1.0,0
866,1.0,1.0,0
867,2.0,3.0,3
868,1.0,1.0,0
869,1.0,1.0,2
870,1.0,1.0,0
871,1.0,1.0,1
872,1.0,1.0,0
873,1.0,1.0,1
874,1.0,1.0,0
875,1.0,1.0,1
876,1.0,1.0,1
877,1.0,1.0,0
878,1.0,1.0,1
879,2.0,3.0,4
880,1.0,1.0,2
881,1.0,1.0,1
882,1.0,1.0,1
883,2.0,3.0,3
884,1.0,1.0,1
885,1.0,1.0,0
886,2.0,3.0,4
887,1.0,1.0,1
888,1.0,1.0,1
889,2.0,3.0,1
890,1.0,1.0,1
891,1.0,1.0,1
892,3.0,4.0,4
893,1.0,1.0,1
894,1.0,1.0,1
895,1.0,1.0,0
896,2.0,3.0,2
897,1.0,1.0,1
898,1.0,1.0,2
899,1.0,1.0,1
900,1.0,1.0,1
901,1.0,1.0,2
902,1.0,1.0,1
903,2.0,3.0,2
904,1.0,1.0,0
905,1.0,1.0,2
906,1.0,1.0,1
907,1.0,1.0,1
908,1.0,1.0,0
909,1.0,1.0,0
910,1.0,1.0,2
911,1.0,1.0,2
912,3.0,4.0,4
913,1.0,1.0,0
914,1.0,1.0,1
915,2.0,3.0,1
916,1.0,1.0,1
917,2.0,3.0,2
918,1.0,1.0,0
919,1.0,1.0,1
920,0.0,1.0,2
921,1.0,1.0,1
922,2.0,3.0,4
923,1.0,1.0,1
924,1.0,1.0,2
925,2.0,2.0,4
926,1.0,1.0,1
927,2.0,3.0,2
928,1.0,1.0,1
929,1.0,1.0,1
930,2.0,3.0,4
931,1.0,1.0,1
932,1.0,1.0,1
933,1.0,1.0,0
934,1.0,1.0,0
935,1.0,1.0,1
936,1.0,1.0,4
937,1.0,1.0,1
938,1.0,1.0,1
939,3.0,4.0,4
940,2.0,3.0,3
941,1.0,1.0,0
942,1.0,1.0,1
943,1.0,1.0,1
944,1.0,1.0,1
945,1.0,1.0,1
946,1.0,1.0,1
947,2.0,3.0,1
948,1.0,1.0,0
949,1.0,1.0,1
950,1.0,1.0,0
951,2.0,3.0,2
952,2.0,3.0,1
953,1.0,1.0,1
954,3.0,4.0,4
955,1.0,1.0,1
956,1.0,1.0,0
957,2.0,3.0,4
958,2.0,3.0,1
959,2.0,3.0,3
960,1.0,1.0,1
961,1.0,1.0,1
962,1.0,1.0,1
963,1.0,1.0,1
964,1.0,1.0,1
965,1.0,1.0,0
966,1.0,1.0,1
967,1.0,1.0,0
968,1.0,1.0,1
969,2.0,3.0,3
970,1.0,1.0,1
971,1.0,1.0,0
972,1.0,1.0,2
973,2.0,3.0,4
974,1.0,1.0,0
975,2.0,3.0,1
976,1.0,1.0,1
977,1.0,1.0,0
978,2.0,3.0,1
979,2.0,3.0,1
980,2.0,3.0,1
981,1.0,1.0,0
982,1.0,1.0,1
983,3.0,4.0,4
984,1.0,1.0,1
985,3.0,4.0,3
986,1.0,1.0,1
987,1.0,1.0,0
988,1.0,1.0,1
989,1.0,1.0,0
990,3.0,4.0,4
991,1.0,1.0,1
992,1.0,1.0,1
993,1.0,1.0,1
994,1.0,1.0,4
995,1.0,1.0,4
996,1.0,1.0,1
997,1.0,1.0,1
998,2.0,3.0,1
999,1.0,1.0,4
1000,1.0,1.0,0
1001,3.0,4.0,4
1002,1.0,1.0,0
1003,1.0,1.0,0
1004,1.0,1.0,1
1005,1.0,1.0,1
1006,1.0,1.0,1
1007,2.0,3.0,4
1008,1.0,1.0,4
1009,1.0,1.0,1
1010,3.0,4.0,4
1011,1.0,1.0,1
1012,1.0,1.0,0
1013,1.0,1.0,1
1014,2.0,3.0,4
1015,1.0,1.0,1
1016,1.0,1.0,1
1017,1.0,1.0,0
1018,1.0,1.0,1
1019,1.0,1.0,1
1020,1.0,1.0,1
1021,1.0,1.0,2
1022,1.0,1.0,1
1023,1.0,1.0,0
1024,2.0,3.0,1
1025,2.0,3.0,1
1026,2.0,3.0,1
1027,2.0,3.0,1
1028,1.0,1.0,0
1029,1.0,1.0,1
1030,1.0,1.0,0
1031,1.0,1.0,1
1032,1.0,1.0,0
1033,1.0,1.0,1
1034,1.0,1.0,1
1035,1.0,1.0,1
1036,1.0,1.0,0
1037,1.0,1.0,1
1038,2.0,3.0,4
1039,2.0,3.0,4
1040,1.0,1.0,1
1041,1.0,1.0,0
1042,1.0,1.0,0
1043,2.0,3.0,1
1044,1.0,1.0,2
1045,1.0,1.0,1
1046,1.0,1.0,1
1047,1.0,1.0,1
1048,1.0,1.0,1
1049,1.0,1.0,1
1050,2.0,3.0,1
1051,1.0,1.0,1
1052,2.0,3.0,1
1053,1.0,1.0,0
1054,2.0,2.0,4
1055,1.0,1.0,1
1056,3.0,4.0,3
1057,2.0,3.0,2
1058,2.0,3.0,2
1059,1.0,1.0,0
1060,2.0,3.0,2
1061,1.0,1.0,0
1062,1.0,1.0,1
1063,3.0,4.0,3
1064,1.0,1.0,1
1065,2.0,3.0,1
1066,1.0,2.0,4
1067,1.0,1.0,1
1068,2.0,3.0,2
1069,1.0,1.0,1
1070,1.0,1.0,0
1071,1.0,1.0,0
1072,1.0,1.0,1
1073,1.0,1.0,1
1074,1.0,1.0,2
1075,2.0,3.0,1
1076,1.0,1.0,0
1077,1.0,1.0,1
1078,1.0,1.0,1
1079,1.0,1.0,0
1080,2.0,3.0,4
1081,1.0,1.0,1
1082,2.0,3.0,1
1083,2.0,3.0,1
1084,1.0,1.0,1
1085,0.0,1.0,2
1086,2.0,3.0,1
1087,1.0,1.0,0
1088,1.0,1.0,4
1089,1.0,1.0,1
1090,1.0,1.0,1
1091,1.0,1.0,1
1092,1.0,1.0,0
1093,1.0,1.0,1
1094,2.0,3.0,1
1095,1.0,1.0,0
1096,1.0,1.0,1
1097,1.0,1.0,0
1098,1.0,1.0,1
1099,1.0,1.0,1
1100,1.0,1.0,1
1101,1.0,1.0,3
1102,1.0,1.0,0
1103,1.0,1.0,2
1104,1.0,1.0,1
1105,1.0,1.0,1
1106,1.0,1.0,1
1107,1.0,1.0,0
1108,1.0,1.0,0
1109,1.0,1.0,1
1110,1.0,1.0,1
1111,1.0,1.0,0
1112,1.0,1.0,0
1113,1.0,1.0,1
1114,1.0,1.0,1
1115,2.0,3.0,1
1116,1.0,1.0,0
1117,1.0,1.0,0
1118,1.0,1.0,0
1119,2.0,3.0,4
1120,1.0,1.0,2
1121,1.0,1.0,1
1122,1.0,1.0,1
1123,1.0,1.0,3
1124,1.0,1.0,1
1125,3.0,4.0,3
1126,1.0,1.0,1
1127,1.0,1.0,0
1128,1.0,1.0,0
1129,1.0,1.0,1
1130,1.0,1.0,1
1131,1.0,1.0,1
1132,2.0,3.0,1
1133,1.0,1.0,1
1134,1.0,1.0,1
1135,1.0,1.0,4
1136,2.0,3.0,1
1137,1.0,1.0,1
1138,1.0,1.0,2
1139,1.0,1.0,2
1140,1.0,1.0,1
1141,1.0,1.0,1
1142,1.0,1.0,4
1143,2.0,3.0,4
1144,1.0,1.0,1
1145,1.0,1.0,0
1146,1.0,1.0,1
1147,2.0,3.0,4
1148,0.0,1.0,4
1149,1.0,1.0,1
